CustomerName,StreetNumber,StreetName,Zip,DOB,Savings,Checkings,CreditCard,Pin
Nissie Quelch,27192,Kensington,1814,673323009000,$77306.00,$30015.04,5048370063545917,2037
Dominick Dayly,478,Logan,5470-206,-170387627000,$63336.83,$82753.34,5048371271371302,5375
Orelle Persehouse,1,Raven,142720,1484321980000,$43546.28,$28404.86,5048373968846927,6311
Annalee Klyner,7740,Lillian,739 39,-364783163000,$9334.32,$29989.62,5108756240604808,3940
Riccardo Danahar,76,Del Sol,,-326920936000,$6068.63,$19244.72,5108753959518170,6533
Modesta Kusick,34,Lien,,-293644788000,$18742.99,$76483.45,5048379380172370,9900
Klarika Milleton,8424,Hoepker,,839440707000,$51772.13,$32377.48,5048376600601790,2779
Forester Surr,78008,Bellgrove,32-020,1110387740000,$95999.74,$71643.91,5048376631831093,5939
Melamie Dales,048,Claremont,1495-048,1115605646000,$19836.26,$99289.46,5048373221710084,2016
Sigrid Blackley,6,Armistice,92545 CEDEX,306051117000,$15226.22,$73183.45,5108754991074628,6830
Birdie Walstow,728,Little Fleur,,544506535000,$73647.51,$18191.17,5108751925363341,5501
Donny Bazoge,4012,Main,855058,1007958030000,$13028.87,$63802.04,5108757195860213,4478
Finn Offiler,5,Esker,,1629027395000,$90543.17,$77423.47,5048376626135831,2326
Philippe Voyce,54,Loeprich,70000,101959845000,$77896.83,$35682.32,5108754531469288,2958
Ainslie Balchin,2207,Morningstar,,111684657000,$13245.09,$37085.22,5048378093192055,6283
Valentina Haseldine,4479,Sloan,,648551819000,$43928.11,$86770.39,5048372115015196,2125
Harlin Lehr,76681,Thierer,,157414576000,$67997.56,$34194.39,5048370651396343,5050
Bran Ridgedell,6,Vidon,87-721,1022297409000,$94469.63,$84505.95,5108757721484389,7151
Park Childes,13797,Clove,,126493731000,$45501.20,$53138.54,5108753615700832,8829
Emmott Strode,445,Randy,,-78969928000,$68245.52,$17006.70,5048377010164361,9478
Mame Davidovits,00,3rd,,562501423000,$32541.34,$78827.15,5048377089572346,3947
Ginevra Farnes,6,Havey,22820,-198066511000,$7861.64,$27325.55,5048378213703831,1759
Jaquelyn Giffen,94,Hanson,,217455900000,$60941.72,$4132.98,5048378661640121,3731
Genni Chaffer,4,Grim,,1401492349000,$40493.53,$31825.29,5108756617831422,4016
Mozelle Thurby,0,Kropf,,852793254000,$4117.10,$43511.98,5108753137489450,5941
Kelbee Buckwell,07497,Tennyson,,805217577000,$11409.82,$19312.90,5048371638812048,8359
Hugibert Elphee,0334,Sundown,3702,-239029575000,$29709.51,$45130.18,5048374676948385,3346
Michell Pogosian,1670,Bunting,142717,1168943890000,$48125.40,$16690.64,5108759635762041,4133
Bing Brimblecombe,91671,Iowa,,480282537000,$8764.38,$10734.32,5048372618041376,5714
Marta Dower,4,Red Cloud,,-255522913000,$52477.47,$49953.77,5108755344028856,2478
Prudi Fiddler,62948,Kropf,,1036728601000,$12195.57,$4502.48,5048374116710635,5184
Kirstyn Juden,34741,Lakeland,,1552922617000,$63941.92,$40522.19,5108750546636416,3049
Hardy McIlreavy,038,Canary,,-434267954000,$65889.02,$74196.87,5048376822976152,7245
Mitchael Connachan,3564,Prairieview,,647357383000,$44158.03,$45175.13,5048370707836797,7537
Sly Learned,54339,Oneill,J3T,1586779623000,$55783.46,$79977.60,5048373185193426,4106
Therese Duffell,9,Gulseth,44320,1516479800000,$67450.40,$56201.80,5048379016454051,4339
Doug Downing,300,American Ash,,1030617375000,$22368.53,$75229.19,5048377618263128,2820
Leigh Redmond,24348,Muir,,-100287627000,$49617.02,$24243.89,5048370397010265,4311
Dredi Eassom,083,Arkansas,,958291932000,$35430.73,$93026.41,5108756500902173,5134
Evelin Surgen,6,Onsgard,,-514978463000,$28519.51,$1415.89,5048374686163280,7027
Wash Posvner,92865,Pennsylvania,69265 CEDEX 09,-203314079000,$44657.91,$19558.87,5048372433315419,8965
Vilhelmina Mohring,319,Kensington,,1061098213000,$71788.61,$65233.10,5048378487355995,3147
Rosabella Finlater,488,Hanson,96910,-559546126000,$21364.71,$22495.82,5048371925296335,1563
Chic Tremellan,14,Mayfield,,-116536054000,$48934.78,$35952.12,5048377975409181,4762
Misti Leyre,59886,Raven,,1135454101000,$92862.21,$29005.65,5048375643572497,9399
Molli Drewes,5811,Hoffman,06550-000,690337584000,$10256.23,$68295.92,5108751412124396,5454
Anthiathia Bodesson,3023,Norway Maple,,1354473225000,$36746.45,$60917.63,5048371081896381,4302
Elvera Morshead,5,Lillian,,1092465237000,$8212.88,$77802.62,5108754835637978,4324
Terrye Audley,42,Stephen,,868941594000,$69668.23,$55210.36,5048379004161189,9709
Carlee Raistrick,81,Buhler,,1372684180000,$96139.43,$33361.48,5108755160076039,8634
Garrott Sherred,104,Rigney,,-159790044000,$34829.92,$22022.30,5048376941271212,9849
Coriss Manlow,54734,Thierer,,1397584825000,$26894.21,$26643.28,5048371649524996,5840
Tybi Ashton,59,Melrose,,970372452000,$1557.98,$13876.40,5108750087186706,1061
Leah Ridd,8061,Main,,1213390194000,$37429.86,$41607.08,5048373575464627,8929
Biron Kear,1831,Little Fleur,709-4306,1387792743000,$46755.17,$3331.91,5108752628063683,8581
Lisabeth Pagden,6489,Blue Bill Park,5420,1320940754000,$2963.86,$29389.77,5108759110502144,8903
Marcelline Skellern,34,Huxley,0031,170704418000,$33353.37,$53676.03,5108750102933421,8281
Skelly De Courtney,988,Crownhardt,,1359941211000,$34124.33,$17907.72,5108759500367470,1280
Van Chieco,853,Center,,1185492378000,$55223.81,$67750.24,5048375756657275,6433
Frances Mealiffe,6,Lunder,,166130966000,$96183.38,$94430.16,5048377327100058,3628
Noell Beaulieu,01,Bluejay,,287772288000,$76155.55,$91373.49,5108756309881834,6761
Tildie Alekhov,4,Portage,,-33186625000,$29729.91,$86122.79,5048379553661472,8086
Calv Mathan,4530,Hollow Ridge,,1487015670000,$73005.17,$82039.60,5108750187229380,9433
Dinny Vigar,608,Judy,852058,1462844429000,$68688.62,$33334.34,5048374215123102,1690
Evan Swigg,36,Straubel,,-150941483000,$39152.61,$45665.57,5048370002964245,7603
Kennett Mizzi,0,Grover,,241670163000,$20921.32,$48182.28,5108750463263640,6459
Catina Grigor,338,Ludington,,568766077000,$54642.59,$47827.18,5048376998451345,2442
Bernadene Foxall,72,Village,77554 CEDEX,-475105572000,$41639.67,$76369.86,5048379295176383,5560
Julian Ipsgrave,68939,Straubel,2599,537451771000,$79284.29,$69450.01,5108757927385232,8847
Denys Beauchamp,5,Bellgrove,,847415645000,$94540.82,$36999.51,5048376868214914,2230
Bernelle Gylle,881,Stuart,9600,-108118579000,$73250.79,$61990.93,5108754833830773,6756
Morna Nozzolii,34,Walton,69300-000,-520164297000,$11526.04,$985.83,5108751015336272,5993
Meghann Lindgren,791,Kenwood,,214687957000,$4238.29,$80762.15,5048376210766041,2673
Adora Royden,95938,Melody,,714750977000,$56982.59,$91014.28,5048379795199356,5323
Elsworth Kohrsen,0582,Thompson,,1585802432000,$9722.90,$24039.00,5108756881460882,4426
Lindsay Kornousek,859,Fairview,33499,1281442582000,$26677.18,$80460.13,5108752648273791,8640
Dexter Stodart,1424,Aberg,155334,1182663356000,$83297.66,$43229.30,5048373958564936,5836
Shanie Dami,8,Packers,8420,562054663000,$687.16,$26100.91,5048374959600117,6827
Shaw MacRory,852,Merrick,,1430832249000,$40387.42,$44353.99,5048373539259402,5377
Cole Bransdon,29,Transport,J6W,1114859862000,$3652.29,$47500.33,5048377374232671,3938
Raine Doers,21,Bellgrove,,511524445000,$35185.25,$29504.46,5108758023036505,6606
Raymund Crippes,985,Delladonna,7023,27628440000,$27506.08,$96699.26,5108757443207803,7247
Moreen Renachowski,3,Eastlawn,,281433238000,$63094.21,$10237.39,5108754072908793,4427
Kimble Grodden,95,Di Loreto,,-354246932000,$18913.80,$70533.75,5108751457161154,4645
Vina Tall,47,Lyons,6612,273137096000,$41861.24,$59270.52,5108758320566188,3961
Kora Kondratenko,6793,Jackson,,1364519166000,$98833.42,$21508.70,5048371245702103,6139
Pearline Khilkov,0246,Nobel,923 24,-506310030000,$33202.80,$65956.60,5048370061839023,2333
Elianora Buckhurst,140,Corry,,398713468000,$79980.66,$98380.67,5108751261537045,8771
Rurik Bernaciak,82947,Cody,,1099159150000,$4371.29,$5280.05,5108754709659983,1609
Rodolfo Beresfore,24797,New Castle,,52246529000,$55511.83,$59118.12,5108758236233261,4554
Wilie Edgcombe,31,Toban,,830149825000,$48916.39,$31387.75,5108756039826505,8823
Ellissa Crabtree,950,Menomonie,,-233434803000,$14574.34,$78946.59,5108752642570325,4805
Clarice Rickardes,038,Northfield,95-010,413853027000,$46637.90,$78330.66,5048378527263670,8367
Gabbie Alchin,2,Fairfield,89862-000,12375007000,$85827.29,$47932.76,5048377057507597,7648
Selby Faro,070,Main,J6V,937415980000,$64571.71,$7445.44,5108759136218329,9620
Ariana Pesic,11116,Cottonwood,,485837724000,$66154.19,$88799.20,5108759286474730,2220
Dionysus Perree,7222,Arrowood,,1482691608000,$29852.37,$57146.24,5048379520841579,5796
Christel Guirardin,70,Orin,2971,1309976403000,$48007.65,$97746.23,5108750682562434,1007
Vernor Harcus,1,West,M34,1566374637000,$24351.79,$60523.95,5108753162922268,1814
Nance Athey,310,Bobwhite,052038,962883311000,$16428.80,$3389.04,5108755537520099,9615
Estell Atton,1573,Mayfield,,-47369848000,$57590.53,$57520.88,5048379356317900,1774
Winfield Nijs,38,Helena,2425-823,-328686712000,$18776.51,$14349.53,5048372270869452,8798
Elene Dougal,84001,Kings,,1510237129000,$89661.48,$84172.57,5048375727095738,8705
Mickey Pasfield,0667,Reindahl,94250,-484782799000,$90127.74,$2245.19,5048378630701848,5300
Kassie Edlyn,969,Crescent Oaks,,1276123318000,$24249.56,$91143.64,5108753570707186,3530
Betsey Philo,59,Dovetail,5406,483987904000,$7459.65,$11745.50,5048371612387652,2387
Chrysler Arkell,8048,Amoth,,268243706000,$14546.37,$62056.48,5048373507429631,3063
Winn Ethridge,7,Kenwood,94264 CEDEX,143118592000,$85364.10,$72944.77,5108758145400936,4395
Olivia Sambidge,6,Norway Maple,,452870368000,$64402.22,$90907.65,5048379345752423,2516
Titus de Savery,70920,Grover,,1188705450000,$96557.79,$11781.15,5048373799968981,7153
Luz Cawthra,51117,Vera,184421,1075045113000,$89418.34,$78575.61,5048374667624722,5384
Peri McGibbon,99,Scofield,4715-529,1566895878000,$52474.96,$44144.46,5048374397702335,7969
Elsa McMychem,22193,Farwell,G5B,1334324273000,$51103.22,$24573.88,5048377592514421,7549
Boy Glanton,29,Red Cloud,,-568403083000,$89840.63,$4763.91,5108757803743827,7791
Shae Meneyer,0343,Sage,,13569887000,$58359.91,$96758.29,5108754899495891,4386
Arabele Janczyk,8,Springs,,705134731000,$11936.38,$12146.59,5108752667919217,2259
Gerald Hawksby,5098,Holy Cross,,479397144000,$86317.67,$1935.21,5048374333287318,3368
Appolonia Guthrie,7,Village,05-270,327482166000,$3901.98,$78541.29,5108751535536559,3703
Daryl Coslett,90557,Farmco,,990349457000,$78895.87,$55555.11,5048372238822320,8542
Gabbi Warrior,06,Donald,593 01,-34454000000,$50145.68,$42714.58,5048376846393467,4230
Travers Rosendorf,7,Summit,,-611000201000,$21202.57,$54912.29,5108750723164406,4494
Drona Roebuck,76910,Shoshone,93380,118934144000,$1239.51,$10038.27,5048374419241676,5572
Antonius Bolingbroke,30,Anhalt,0512,388940068000,$90372.69,$2044.26,5048376906605354,4973
Sari Trimble,98658,Stang,,-611132195000,$85919.74,$33939.52,5048373446481511,8834
Grissel Handke,5,Blaine,347395,475487039000,$99689.43,$65494.19,5048370562070136,6821
Rickard Heard,48,Forest Run,96450-000,861538204000,$35315.82,$20506.21,5048379038519675,1188
Allen Gregoraci,215,Crescent Oaks,2283,1093656027000,$8138.68,$42902.09,5048379485279534,9226
Porter Slite,56,Farwell,,-173287916000,$78281.83,$11999.79,5108751703576056,9060
Lenee Dorsey,7342,Eagle Crest,259-0318,672080883000,$72165.98,$10150.15,5108750083688705,2629
Rainer Eveque,81381,Hanson,8410,-115762212000,$76552.88,$72163.30,5108753591801877,3823
Karlee Vallow,558,Hanson,,1402698762000,$69868.15,$68561.17,5108750353126576,8997
Carver Mattheeuw,9,Superior,733558,553369912000,$16395.98,$81814.56,5108758149247853,9318
Hazel Linkie,17625,Main,,1540132062000,$43669.26,$46143.55,5108752782587725,1578
Charlot Kadd,4745,Muir,142507,-399548449000,$12931.16,$95110.22,5048373736530316,3084
Dru Maylam,63927,Loftsgordon,,7668424000,$65695.48,$56624.06,5108754812878470,8721
Beryle Runham,2,Bowman,,891169091000,$29045.29,$46107.17,5048379270383467,8210
Dulciana Bayley,5,Dakota,09-142,-12481589000,$19317.55,$39937.00,5108755768021221,9638
Bernie Milberry,961,Red Cloud,,-64642416000,$57660.96,$36207.01,5108755975323956,1080
Jean Berzins,70746,Thompson,,357373553000,$89839.83,$43897.42,5048372249983525,8635
Devlen Jacobsen,6,Little Fleur,,1085775270000,$65653.58,$92097.61,5108750671148054,7950
Udell Gaynsford,66,Mayfield,,1135714450000,$29007.65,$68524.84,5048375240812536,7851
Maxy McClymont,4,Oxford,,913757479000,$53011.46,$67334.36,5048372987240443,5246
Connor Franchi,6587,Fulton,0472,11792526000,$75153.53,$64729.52,5108757751263976,2183
Ula Yukhnini,89853,Autumn Leaf,331 41,-51889836000,$4222.47,$60485.64,5108758506632705,3036
Kristyn Calderwood,82325,Corry,,272482290000,$48132.70,$32057.67,5048378302238285,3219
Vonny Weatherell,45210,Myrtle,,881841131000,$55070.38,$20495.21,5108752383158116,1512
Ardelle Boom,920,Hovde,,1267297081000,$98715.58,$35738.99,5048376126042750,6741
Cheslie Pagram,2612,Golf View,,-62999389000,$63457.02,$4460.40,5048376609130858,9886
Beale Fisby,228,3rd,,1106090417000,$30841.62,$24329.93,5108755340568525,5190
Leonerd Cathee,31,Golf,9416,1407151219000,$67273.60,$13507.44,5048375599018156,4914
Mignonne Doerren,15943,Hauk,7209,1158757068000,$10230.38,$37487.89,5048378526356673,4522
Evangelin Pagram,060,2nd,,866716289000,$43795.92,$84629.07,5048371873709123,1451
Rona Dacks,0969,Green,696 62,1235292974000,$63965.87,$47576.96,5048374696735176,4946
Patrice Beavan,1298,Tennyson,,1386440025000,$23080.29,$7572.81,5048376030520792,7435
Magdaia Shuxsmith,695,Eagle Crest,,-123977799000,$93372.44,$33329.51,5048378014710803,8538
Bealle Rubanenko,93,Melody,692608,381676838000,$65495.57,$96766.69,5048372569298264,1517
Darci Hunn,63394,Colorado,5150-015,809340720000,$27673.42,$17182.84,5048370066537317,1151
Gena Samme,64869,Rowland,5608,1560105817000,$46827.71,$92630.41,5108753542653146,4716
Kimberlee Guyonnet,1,Washington,,1601363292000,$8487.58,$4363.93,5048370468256060,3204
Nelia California,56,Hintze,303720,-272090943000,$96856.04,$41981.11,5048370949890933,8364
Lyndell Measey,6771,Carey,802 85,122231918000,$92716.25,$66216.60,5108759347023369,9730
Nevins Scroggs,48561,Northwestern,27120,712571960000,$6345.78,$29097.89,5108756655413620,5965
Gunter Dyet,68006,Straubel,,-136596901000,$67917.41,$1731.95,5048375986717188,5103
Ashley Carbery,38,Warbler,,1618643722000,$87721.88,$59295.44,5108755326594586,4530
Konstanze Corran,01104,Fair Oaks,42700-000,667234519000,$89548.67,$11745.60,5108750599217643,7642
Bernarr Scholl,0549,Hoffman,613840,910901845000,$14353.35,$49531.48,5108751664083217,3818
Meagan Glynne,559,Linden,,617038120000,$6942.46,$98687.64,5048370644671158,1365
Vinny Wormstone,0302,Mariners Cove,55810-000,1419389831000,$7013.49,$44878.21,5048379804323385,9574
Florida Grainger,5,Beilfuss,,1618548552000,$35245.79,$88493.80,5048374533015022,8090
Gaye Grafom,76,Cordelia,,415626264000,$2144.16,$18723.12,5048375682363253,3741
Emylee Losbie,5,Harbort,,752924690000,$44961.61,$82103.19,5108755618491418,9713
Gordon Kernley,249,Rockefeller,2840-707,384890660000,$95953.68,$87719.17,5048371675111148,5014
Caria Oris,802,Sommers,06004,-575815906000,$89209.11,$89813.91,5108756154068966,3712
Micaela Rowntree,9908,Eastlawn,59055 CEDEX 1,631211236000,$1653.81,$29829.34,5108754101093567,1270
Roseline Lorey,29,Debra,,747374091000,$41470.48,$87184.98,5108754393489754,4325
Beverie Goch,8013,Morrow,,1404864251000,$91972.47,$25432.69,5048373550870640,2491
Consuelo Navarre,84428,Browning,11247,823287593000,$50900.61,$75481.33,5108753981386208,7380
Brigitta Giraudot,47,Cottonwood,1041,-385695517000,$47009.52,$3146.95,5108758472509887,1056
Alyson Cowin,2252,Fisk,,421772376000,$68118.16,$44740.90,5048370272170770,7513
Caresse Rust,233,Roth,,1406375476000,$32279.88,$71923.79,5048375343854229,6601
Karena Bromehead,21880,Merrick,16900-000,524875426000,$14366.24,$99785.97,5048370391618253,6170
Dilly Rubes,1117,Sage,,1477598680000,$36490.42,$68626.76,5108756681598774,4654
Betteann Laundon,94904,Redwing,,226466032000,$44469.20,$19624.00,5048378512854905,1809
Bertina Fennell,133,Thompson,70374,1391015034000,$53024.06,$68685.89,5048372491333064,9660
Wildon Kintish,5681,Superior,403003,684132595000,$23709.54,$94264.41,5048372769208972,3338
Glen Speight,42,Southridge,V3A,550974872000,$48207.73,$61442.22,5108753686023262,9504
Vasily Ivanenkov,60,Fremont,6285-105,484149870000,$7959.32,$59572.01,5048375162801665,5645
Didi Coils,14,Doe Crossing,,1070688894000,$4528.76,$96815.56,5048376400718828,1653
Ainsley Carder,50,3rd,,-181371185000,$67503.52,$32659.14,5108756397151975,6508
Skye Tumielli,2218,Menomonie,,27318597000,$28270.77,$95466.33,5048377156674504,3053
Burg Cranke,5,Sunnyside,,557410997000,$49179.30,$27408.05,5048374599581099,2120
Hettie Bullerwell,3066,Emmet,27635,279858216000,$83924.69,$19453.56,5108753397791140,3084
Lanna Dineen,9,Becker,92154 CEDEX,-82166786000,$3897.03,$56710.95,5108754405750904,8178
Lars Barhem,937,Sherman,34-116,1534198964000,$8070.51,$65341.33,5108752552123339,6510
Jsandye Quennell,9,Mockingbird,4805-358,69555696000,$65021.90,$41440.03,5108752441829112,9599
Vevay Llewelyn,23605,Cascade,,797967797000,$21454.14,$29067.54,5048378107796040,8264
Micaela Robinette,00,Milwaukee,,1637689840000,$98987.33,$57079.15,5048371323637304,2759
Duky Waldie,0553,Graceland,10370,512021216000,$78117.77,$94498.44,5048373361805140,3984
Renell Harrell,2757,Canary,,-217884163000,$72400.41,$27439.17,5108754699343390,5405
Kassandra Quinion,09,Fremont,,216676454000,$88250.53,$7884.82,5048373195512854,6161
Raimundo Pughsley,2073,Cordelia,,453839530000,$75654.35,$80237.32,5048376921946650,2768
Doralia Gremain,9787,Summerview,31120,1270369124000,$45729.21,$78530.88,5108752534591595,8841
Marquita Papaminas,30,Bunker Hill,,1072478346000,$4422.08,$91154.95,5108753719922415,4901
Marten Waistall,29,Continental,,-392164629000,$59534.63,$26828.63,5048375169115572,3487
Leone Scamerden,76528,Commercial,959-1855,-553042364000,$96097.74,$57195.16,5048377800564572,8148
Willy Langhorne,64506,New Castle,6185-255,-191561572000,$73714.45,$71741.89,5108750751481599,5434
Toni Hannant,85,Lyons,17-312,-415005451000,$3282.41,$21097.27,5108758225962300,1282
Vivie Gasgarth,22857,Derek,10607,-581741903000,$42639.51,$91711.17,5108759870959088,4138
Anjanette Limming,47,Stoughton,818-0138,547137146000,$85052.36,$14581.69,5108753097403632,3517
Lion Deaville,1,Amoth,,840709294000,$67789.90,$75292.75,5048379924342257,8872
Christy Harrowing,5255,Banding,691 06,-591602443000,$16137.40,$87965.33,5048376540152227,3097
Rip Butten,6722,Carioca,96970,768828802000,$39315.72,$61004.30,5048376687481553,6508
Lorine Jeves,7,Sullivan,,-544003442000,$40839.79,$37154.07,5108753302334689,4727
Sadye Jina,4021,Springs,,541198837000,$59603.23,$24852.72,5048372013654153,7818
Timothee Bohlens,150,Bluestem,,-359257001000,$62445.35,$26523.72,5048375890471971,5240
Sibelle Raspison,7063,Lillian,84240,1313402252000,$95583.98,$67684.58,5048371615663992,5323
Karlie Gennings,14,Warbler,,-260335137000,$78452.82,$88094.63,5048376234148028,9206
Gery Duggan,97,Clove,,1084643210000,$39456.85,$58493.78,5108752868367760,3649
Clayson McGuiness,4474,Schmedeman,,356965666000,$37896.62,$29387.47,5048375462245282,3480
Anny Busch,72813,Darwin,,103636752000,$63063.49,$63175.53,5048374145300945,7984
Giulietta Fishwick,1,Hagan,,-497339860000,$33964.87,$33642.16,5048374269585248,6859
Gizela McCrae,29,Mccormick,,48098765000,$66184.15,$49969.14,5108750688964121,3282
Ramsay Dedman,01,Mosinee,78840-000,-459708437000,$22361.83,$79383.10,5108759812314871,4929
Phillipp Semiraz,0,Manitowish,,839060114000,$42131.75,$29476.63,5108753442977090,8465
Rosabelle Boothe,011,Boyd,85101,-284350943000,$91202.50,$38449.19,5048374198097950,5337
Verina Perrat,814,4th,607343,843074029000,$43311.72,$96318.02,5108751206535229,5434
Devlen Bather,0126,Spaight,,996576958000,$95410.73,$71197.74,5048378296968848,3840
Cristi Linstead,85,Meadow Valley,,-126806910000,$32615.82,$67682.82,5048373166800916,4246
Renee Brumby,7535,Bashford,,422954239000,$74922.04,$8694.90,5108758301813179,7455
Sashenka Pietersen,9,Holy Cross,33600-000,652657712000,$11699.44,$27649.53,5048370673052478,9496
Codee Bould,084,Green Ridge,38-610,787881343000,$56227.33,$68192.70,5048371691916389,7673
Emmalynn Myner,65753,Jay,347395,1120055712000,$89030.83,$90935.82,5048379748690121,1613
Corliss Gyorffy,3,Walton,30560,-614253376000,$25570.46,$84372.42,5108756692728568,5402
Louise Zimmer,8,Everett,,-615355076000,$42954.70,$5838.21,5108754673309250,5666
Barrie Yantsev,61,Judy,,73431065000,$7728.69,$89870.90,5108756569103267,9820
Curtis MacGorrie,532,Hovde,,1209547386000,$4870.23,$33850.33,5108753494910916,8687
Harper Merveille,340,Atwood,,-26662565000,$67324.54,$1678.36,5108750235336443,5267
Tatiana Corrin,14142,Laurel,,-462413153000,$76256.79,$46089.95,5048374124204233,2618
Freedman Folomin,4,Bobwhite,,1180847530000,$20690.81,$9056.65,5048372266614136,5907
Cozmo Mattiacci,15299,Springview,,-45470763000,$31701.38,$68923.37,5108754943463994,7513
Niall Petrazzi,8967,John Wall,649792,1508812318000,$97074.09,$65999.16,5048376636675438,7221
Marlin Keetch,4,Brentwood,,141426467000,$98117.43,$91909.77,5108757480181473,5225
Cate Ashfield,8852,Glendale,,1160883206000,$4304.67,$48261.82,5048379954544244,9306
Norean Haggus,9,Saint Paul,44880-000,930147338000,$93196.51,$13874.06,5108752687175857,6402
Lolita Hawford,76,Loftsgordon,2490-005,887205527000,$67662.58,$98100.80,5048378084003667,3765
Sylvia Omar,294,Northwestern,,897409769000,$44162.41,$96015.01,5108758692502969,8079
Fiona Stringfellow,1676,Shasta,,-512128473000,$75688.88,$4329.39,5048376352475286,8644
Judd Vickarman,202,Golf,739 51,631974205000,$17570.20,$49215.45,5048379043601815,1864
Mathian Saffle,8341,Butterfield,,810502808000,$55259.60,$69154.61,5108756154693086,6033
Onofredo Sitwell,4798,Kropf,,1250346095000,$40563.60,$67353.98,5108758452535670,8485
Gwendolen Gwillim,0,Sugar,756 06,-490859501000,$71518.06,$97167.75,5108753025304951,3607
Harmonia Wake,33310,Corry,,679783324000,$88308.00,$31537.24,5048371209248820,8617
Annabal Epps,1,Heath,,265223442000,$56248.60,$25738.52,5108751598403713,8910
Conny Ambrozewicz,616,Trailsway,,750277832000,$43726.79,$13489.07,5048371080301482,7045
Virgie Ower,0792,Almo,93907,506734010000,$19537.58,$46213.28,5048373310720507,9278
Barny Macklin,32473,Summerview,20292 CEDEX,776483018000,$82781.01,$41796.50,5108751283601910,8356
Ollie Durban,88,Chinook,,1636110460000,$78846.21,$84316.12,5108750493516959,7682
Tommie Baudains,26,Moulton,122 44,747613157000,$88330.85,$46984.94,5048375734980880,3536
Marcile Deener,373,Hudson,,314114800000,$25215.63,$50374.79,5108755872375869,6803
Honoria Massimi,6490,Drewry,,853732858000,$4767.73,$75979.14,5108753977944028,3672
Karoline Gormally,289,Tennyson,,1212725521000,$43624.89,$40561.12,5048378954454784,9701
Davey Allchorn,478,Kingsford,,-75548190000,$70775.73,$77546.29,5108752012140717,5247
Even Woodley,9407,Graceland,,134906123000,$20189.78,$6951.41,5108755691935265,1995
Eben Picken,95103,Red Cloud,,1052132687000,$88243.48,$56799.92,5048370565416617,1838
Tome Blencoe,11879,Dahle,606525,1131691838000,$34522.22,$53670.91,5048374586983662,4712
Georges Garza,0,Mosinee,17009,404072301000,$92546.27,$80164.14,5108756313496082,8692
Tomkin Shear,6,Bultman,341 84,-355136601000,$61835.21,$57245.31,5108754309360271,5150
Yevette Beatty,24,Shasta,140231,-218829079000,$81200.57,$36734.11,5048376672202675,8319
Brandice Duggon,789,Burrows,2815,-558948791000,$84436.47,$39330.53,5048372677051761,5739
Florrie Pardy,4,Stoughton,46140,-27816564000,$21516.56,$66929.21,5048377256492310,3718
Rochell Beacon,5,Florence,,1179185877000,$20336.70,$25530.24,5108757216946546,5760
Leonid Galton,3694,Mallard,238346,-83408388000,$44426.31,$57545.47,5048379870591162,1004
Kippar Shoute,62754,Talmadge,,-76427307000,$34776.15,$77258.54,5108755630333986,6948
Amalea Duerdin,95,Dwight,,1392187371000,$37432.56,$26295.04,5048374894727892,8401
Kara-lynn Coweuppe,18626,Ryan,,397877234000,$59798.19,$60270.56,5048376338820324,3462
Kelvin Snaddin,6560,Old Shore,30104 CEDEX,1520040945000,$17172.24,$32851.54,5048376716388902,5211
Imojean Travis,24,Maryland,,844722557000,$98538.58,$5580.95,5048371166486967,6138
Harrietta Bedbury,5,Ridgeway,58501,265710849000,$64334.66,$45551.35,5048374065265326,4732
Amandie Maasze,7686,Valley Edge,,432213271000,$85565.72,$16383.77,5108751483862627,3002
Baldwin Houtby,2,Esker,783 72,604838484000,$34262.80,$36809.02,5048377054736702,2348
Ollie MacKibbon,983,Havey,,1447345577000,$57449.27,$12087.29,5108750671827715,9554
Timmie Hallowes,111,Cody,4990-600,1569780081000,$8639.23,$23967.86,5108756580945860,8893
Earlie Parr,060,Brickson Park,87250-000,-59722609000,$63340.60,$50124.75,5108752366533731,6758
Gawain Kenwrick,8,Crowley,58100-000,278957941000,$22322.60,$34622.41,5108758477427523,1570
Corine Dack,90,Atwood,,1389678308000,$58624.31,$81615.31,5048371345115719,1761
Ellwood Schiesterl,1078,Marquette,,38405744000,$19361.20,$28682.05,5048373809537750,1721
Whittaker Slany,20482,Killdeer,45306,-4371794000,$52527.30,$73014.21,5048371282196219,2353
Evyn Mathan,12289,Oak,60006 CEDEX,-100815960000,$57196.18,$42229.82,5048373997257443,3373
Harriette Aspel,7250,Garrison,111721,1233042532000,$99425.66,$24955.67,5048375755722385,9979
Sheffy Rickeard,165,Vera,48-340,-6287546000,$99015.09,$96499.74,5048377084615025,9357
Rochette Tzarkov,5,Village Green,77193 CEDEX,271560508000,$54384.73,$33924.46,5048378609043248,7189
Pearle Rowlin,083,6th,3454,-265977379000,$17138.06,$67669.01,5108750095009387,3835
Melita Lazare,0523,Lawn,366602,22700703000,$67289.81,$1768.11,5108752967251139,8464
Kathie Beavon,64,Green,,-422487550000,$78233.74,$26383.82,5108752417571383,9541
Mercy McBride,817,Maple Wood,,1492280078000,$65756.70,$43336.23,5048379741707906,5310
Libby Denness,32508,Armistice,,-211899200000,$49723.27,$20020.10,5108755599007019,9242
Wallis Ralton,348,Utah,,200082865000,$69974.82,$89519.96,5048379161121992,5348
Trefor Burleigh,8,Roth,,-185620471000,$99768.65,$50400.19,5048372847205156,3764
